,Gene ID,Gene name,Counts NP1,FPKM NP1,Counts NP2,FPKM NP2,Counts P1,FPKM P1,Counts P2,FPKM P2,Log2 FC,pvalue,padj,FPKM P1 CC,FPKM P2 CC,FPKM P1 GC,FPKM P2 GC
7692,AT4G14130,XTH15,35,0.51,38,0.54,3,0.07,0,0,-3.86,0.000703487,0.001502788,0.07,0,0.07,0
1930,AT4G30280,XTH18,69,0.97,81,1.1,1353,29.11,1018,27.01,4.76,2.25E-179,6.08E-178,29.11,27.01,29.11,27.01
3900,AT4G30290,XTH19,181,2.41,199,2.56,433,8.81,335,8.41,1.79,2.03E-22,1.25E-21,8.81,8.41,8.81,8.41
996,AT2G18800,XTH21,0,0,0,0,10,0.23,7,0.2,6.3,0.00105965,0.002211383,0.23,0.2,0.23,0.2
1640,AT5G57560,XTH22,1456,16.24,1598,17.26,41711,712.77,30240,637.41,5.33,0,0,712.77,637.41,712.77,637.41
3362,AT4G25810,XTH23,140,1.81,135,1.69,451,8.92,370,9.03,2.36,1.57E-35,1.33E-34,8.92,9.03,8.92,9.03
5879,AT4G30270,XTH24,9913,145.34,10488,148.83,2704,60.72,2028,56.17,-1.33,1.70E-79,2.57E-78,60.72,56.17,60.72,56.17
2397,AT4G18990,XTH29,4,0.05,0,0,9,0.18,22,0.53,3.79,0.001685467,0.003414141,0.18,0.53,0.18,0.53
2458,AT1G32170,XTH30,110,1.39,108,1.32,899,17.45,754,18.05,3.71,2.06E-114,4.07E-113,17.45,18.05,17.45,18.05
6149,AT3G44990,XTH31,263,3.35,257,3.17,67,1.31,40,0.96,-1.51,2.50E-07,7.76E-07,1.31,0.96,1.31,0.96
5675,AT2G06850,XTH4,8674,95.28,9372,99.64,2654,44.65,1924,39.93,-1.2,2.17E-56,2.54E-55,44.65,39.93,44.65,39.93
6840,AT5G65730,XTH6,22008,265.59,22464,262.39,3109,57.46,2412,54.99,-2.23,9.34E-284,3.71E-282,57.46,54.99,57.46,54.99
7979,AT4G37800,XTH7,6827,94.03,6840,91.19,173,3.65,134,3.49,-4.7,0,0,3.65,3.49,7.764091945,7.423748188
7141,AT1G11545,XTH8,224,3.27,254,3.58,28,0.63,15,0.41,-2.7,1.12E-13,5.04E-13,0.63,0.41,0.63,0.41
7853,AT4G03210,XTH9,1198,13.93,1223,13.76,46,0.82,27,0.59,-4.28,3.54E-83,5.52E-82,0.82,0.59,0.82,0.59
3051,AT3G62720,XXT1,816,7.4,895,7.85,3617,50.22,3084,52.81,2.76,1.03E-222,3.37E-221,50.22,52.81,50.22,52.81
7542,AT5G07720,XXT3,26,0.27,33,0.33,1,0.02,2,0.04,-3.49,0.002669255,0.005233374,0.02,0.04,0.02,0.04
5657,AT1G18690,XXT4,293,1.43,296,1.4,86,0.64,64,0.59,-1.2,3.37E-06,9.43E-06,0.64,0.59,0.64,0.59
3649,AT1G74380,XXT5,1982,17.93,1918,16.79,5049,69.96,4146,70.86,2.02,1.65E-160,4.09E-159,69.96,70.86,69.96,70.86
6068,AT1G68560,XYL1,6423,33.91,7011,35.83,1531,12.38,1325,13.22,-1.45,3.74E-76,5.42E-75,12.38,13.22,12.38,13.22
5987,AT5G57655,XYLA,3760,31.37,3770,30.45,950,12.14,716,11.29,-1.4,1.22E-53,1.37E-52,12.14,11.29,12.14,11.29
3633,AT4G08160,XYN3,109,0.74,122,0.8,298,3.09,250,3.2,2.03,3.87E-20,2.23E-19,3.09,3.2,3.09,3.2
8199,AT4G33810,XYN5,55,0.42,76,0.56,1,0.01,1,0.01,-5.25,7.47E-06,2.02E-05,0.01,0.01,0.01,0.01
5514,AT2G27130,XYP11,360,6.47,374,6.51,95,2.62,97,3.29,-1.14,1.18E-06,3.47E-06,2.62,3.29,2.62,3.29
4413,AT3G27210,Y-2,226,3.29,284,4,394,8.77,371,10.19,1.38,1.43E-13,6.38E-13,11.44850268,13.30219411,8.77,10.19
6313,AT3G17950,Y-3,444,5.88,496,6.36,91,1.85,84,2.1,-1.64,1.70E-13,7.57E-13,1.85,2.1,2.352627662,2.670550319
4512,AT1G51510,Y14,1326,21.98,1339,21.49,1960,49.77,1896,59.39,1.33,8.31E-38,7.34E-37,49.77,59.39,49.77,59.39
7305,AT2G45190,YAB1,561,8.12,626,8.77,54,1.2,31,0.85,-3.03,4.39E-34,3.60E-33,1.2,0.85,1.2,0.85
8133,AT1G08465,YAB2,261,3.8,268,3.78,5,0.11,4,0.11,-5.1,8.78E-20,5.01E-19,0.14421457,0.14421457,0.11,0.11
6440,AT4G00180,YAB3,1297,14.59,1333,14.51,262,4.51,191,4.06,-1.76,1.12E-35,9.49E-35,4.51,4.06,4.51,4.06
8034,AT2G26580,YAB5,475,7.48,503,7.67,10,0.24,10,0.3,-4.83,8.68E-36,7.39E-35,0.434882599,0.543603249,0.24,0.3
4629,AT2G25870,YBEY,1861,14.86,1966,15.19,2868,35.07,2411,36.37,1.25,2.08E-53,2.33E-52,35.07,36.37,35.07,36.37
4622,ATCG01280,ycf2-B,100,0.26,121,0.3,138,0.54,163,0.79,1.25,1.34E-05,3.51E-05,0.54,0.79,0.54,0.79
4650,ATCG00860,ycf2-B,102,0.26,123,0.31,140,0.55,163,0.79,1.24,1.46E-05,3.82E-05,0.55,0.79,0.55,0.79
5000,ATCG00520,YCF4,98,3.13,81,2.51,94,4.6,120,7.25,1.07,0.001432701,0.002933399,4.6,7.25,4.6,7.25
218,AT4G37390,YDK1,0,0,2,0.02,275,3.44,227,3.51,8.76,6.22E-17,3.20E-16,3.44,3.51,3.44,3.51
31,AT5G58180,YKT62,0,0,0,0,361,10.26,348,12.2,11.71,9.60E-16,4.71E-15,10.26,12.2,10.26,12.2
5075,AT5G21920,YLMG2,2407,41.7,2353,39.46,3240,85.97,2451,80.22,1.03,9.34E-37,8.09E-36,85.97,80.22,85.97,80.22
7393,AT4G24120,YSL1,1736,11.24,1707,10.69,119,1.18,98,1.2,-3.21,6.12E-97,1.07E-95,1.610936247,1.638240251,1.18,1.2
7367,AT5G24380,YSL2,889,6.63,788,5.69,59,0.67,51,0.72,-3.15,3.31E-48,3.45E-47,0.67,0.72,0.67,0.72
6287,AT5G53550,YSL3,1701,9.93,1763,9.96,346,3.09,310,3.42,-1.61,6.16E-39,5.55E-38,3.09,3.42,3.09,3.42
2624,AT1G65730,YSL7,9,0.06,12,0.08,72,0.79,56,0.75,3.39,2.07E-10,7.92E-10,0.79,0.75,0.79,0.75
2779,AT1G48370,YSL8,36,0.24,50,0.32,235,2.41,204,2.58,3.14,4.08E-28,2.94E-27,2.41,2.58,2.41,2.58
8452,AT4G13260,YUC2,22,0.18,22,0.18,0,0,0,0,-6.11,0.000519754,0.001129981,0,0,0,0
7844,AT5G25620,YUC6,244,1.82,282,2.04,10,0.11,6,0.08,-4.26,2.44E-20,1.41E-19,0.11,0.08,0.11,0.08
2961,AT4G28720,YUC8,10,0.1,7,0.07,28,0.44,43,0.83,2.88,2.37E-05,6.09E-05,0.44,0.83,0.44,0.83
7206,AT2G01210,ZAR1,30,0.2,42,0.27,5,0.05,1,0.01,-2.84,0.002974458,0.005792392,0.05,0.01,0.05,0.01
1802,AT1G27730,ZAT10,1596,21.73,1796,23.67,36500,761.11,29042,746.99,5.05,0,0,761.11,746.99,761.11,746.99
755,AT2G37430,ZAT11,11,0.21,3,0.05,560,16.19,389,13.87,6.85,7.28E-58,8.67E-57,16.19,13.87,16.19,13.87
467,AT5G59820,ZAT12,356,6.44,383,6.7,44116,1221.87,37352,1276.08,7.57,0,0,1221.87,1276.08,1221.87,1276.08
1699,AT2G17180,ZAT2,0,0,0,0,4,0.11,4,0.13,5.24,0.025443354,0.041845737,0.11,0.13,0.11,0.13
1449,AT4G35280,ZAT3,0,0,0,0,5,0.14,5,0.17,5.56,0.011230435,0.019766985,0.14,0.17,0.14,0.17
8249,AT2G45120,ZAT4,40,0.5,33,0.4,1,0.02,0,0,-5.41,0.000730593,0.001557389,0.02,0,0.02,0
2012,AT5G04340,ZAT6,1482,20.15,1481,19.49,22675,472.1,18199,467.38,4.57,0,0,472.1,467.38,472.1,467.38
1892,AT3G46090,ZAT7,52,0.92,66,1.13,1049,28.42,911,30.44,4.84,1.80E-152,4.33E-151,28.42,30.44,28.42,30.44
1737,AT3G46080,ZAT8,21,0.47,37,0.81,618,21.36,612,26.1,5.2,5.28E-93,8.91E-92,21.36,26.1,21.36,26.1
8312,AT3G60580,ZAT9,46,0.57,38,0.46,0,0,1,0.02,-5.6,0.000379996,0.000842197,0,0.02,,
2848,AT1G59590,ZCF37,224,3.3,208,2.96,1152,25.98,905,25.17,3.03,8.59E-108,1.62E-106,25.98,25.17,25.98,25.17
3244,AT2G32930,ZFN2,482,3.74,497,3.73,1885,22.38,1385,20.29,2.52,1.85E-115,3.69E-114,22.38,20.29,22.38,20.29
7113,AT1G66140,ZFP4,462,5.98,529,6.63,55,1.09,37,0.91,-2.65,9.30E-26,6.30E-25,1.09,0.91,1.09,0.91
2328,AT5G40880,ZFWD3,228,1.88,225,1.79,2260,28.51,1766,27.48,3.93,5.06E-254,1.82E-252,28.51,27.48,28.51,27.48
2241,AT5G49200,ZFWD4,4,0.05,3,0.03,46,0.84,24,0.54,4.08,6.15E-07,1.85E-06,0.84,0.54,0.84,0.54
5965,AT5G42780,ZHD13,105,1.79,123,2.03,30,0.78,21,0.68,-1.38,0.001045371,0.00218406,0.78,0.68,0.78,0.68
6954,AT1G14687,ZHD14,28,0.51,26,0.46,3,0.08,3,0.1,-2.38,0.016639094,0.028385453,0.08,0.1,0.08,0.1
8376,AT2G02540,ZHD3,15,0.19,22,0.27,0,0,0,0,-5.86,0.001295367,0.002667037,0,0,0,0
7934,AT1G14440,ZHD4,58,0.5,62,0.51,1,0.01,2,0.03,-4.53,8.61E-06,2.31E-05,0.013097582,0.039292747,0.01,0.03
6733,AT1G75240,ZHD5,27,0.28,44,0.44,9,0.14,1,0.02,-2.1,0.019433618,0.032707655,0.14,0.02,0.14,0.02
6657,AT5G15210,ZHD8,614,6.25,621,6.12,97,1.51,79,1.52,-2.03,2.61E-23,1.65E-22,1.51,1.52,1.51,1.52
5541,AT3G28920,ZHD9,3523,40.88,3943,44.28,1121,19.92,837,18.35,-1.15,1.12E-35,9.49E-35,19.92,18.35,19.92,18.35
3109,AT5G13750,ZIFL1,369,2.52,330,2.18,1528,15.97,1107,14.27,2.69,4.73E-100,8.51E-99,15.97,14.27,15.97,14.27
7242,AT3G43790,ZIFL2,136,1.03,121,0.88,9,0.1,11,0.16,-2.89,1.05E-08,3.63E-08,0.1,0.16,0.1,0.16
7501,AT3G12750,ZIP1,378,4.75,365,4.44,25,0.48,16,0.38,-3.4,2.30E-25,1.54E-24,0.48,0.38,0.48,0.38
5487,AT1G55910,ZIP11,2509,31.41,2595,31.44,801,15.36,564,13.34,-1.13,4.07E-27,2.86E-26,15.36,13.34,15.36,13.34
118,AT5G48390,ZIP4,2,0.01,3,0.02,1283,12.07,1028,11.93,9.63,8.36E-49,8.82E-48,12.07,11.93,12.07,11.93
7194,AT1G10970,ZIP4,233,2.51,314,3.27,25,0.41,20,0.41,-2.82,9.75E-16,4.79E-15,0.41,0.41,0.41,0.41
6994,AT1G05300,ZIP5,97,0.79,104,0.82,16,0.2,6,0.09,-2.44,6.24E-06,1.70E-05,0.2,0.09,0.246186528,0.110783938
7475,AT2G30080,ZIP6,457,6.35,404,5.44,23,0.49,26,0.68,-3.35,8.67E-28,6.21E-27,0.49,0.68,0.49,0.68
8722,AT2G04032,ZIP7,55,0.7,68,0.83,0,0,0,0,-7.59,1.21E-06,3.55E-06,0,0,0,0
5030,AT1G55480,ZKT,10551,117.65,11257,121.49,14763,252.12,11608,244.52,1.05,4.83E-72,6.77E-71,252.12,244.52,252.12,244.52
7609,AT2G45450,ZPR1,331,6.07,360,6.39,18,0.51,14,0.49,-3.65,5.46E-25,3.62E-24,0.51,0.49,0.51,0.49
7884,AT3G52770,ZPR3,30,0.53,40,0.68,2,0.05,0,0,-4.37,0.000728009,0.001552156,0.05,0,0.05,0
5839,AT1G58350,ZW18,905,4.68,1025,5.14,268,2.12,188,1.84,-1.31,6.87E-17,3.53E-16,2.12,1.84,2.12,1.84
7253,AT1G58270,ZW9,640,6.1,684,6.31,53,0.77,49,0.88,-2.91,1.19E-37,1.04E-36,0.77,0.88,0.77,0.88
2445,AT1G22260,ZYP1A,13,0.07,7,0.04,67,0.59,84,0.91,3.72,2.99E-12,1.26E-11,0.59,0.91,0.59,0.91
3657,AT1G22275,ZYP1B,26,0.15,25,0.14,63,0.54,56,0.6,2.01,1.29E-05,3.41E-05,0.54,0.6,0.54,0.6
0,AT5G12340,,0,0,0,0,6454,153.15,4942,144.65,15.7,1.67E-27,1.19E-26,153.15,144.65,153.15,144.65
1,AT3G43250,,0,0,0,0,3284,90.13,2647,89.61,14.76,1.75E-24,1.15E-23,90.13,89.61,90.13,89.61
2,AT1G06153,,0,0,0,0,2581,318.76,2174,331.18,14.44,1.68E-23,1.07E-22,318.76,331.18,318.76,331.18
3,AT3G53600,,0,0,3,0.06,17839,603.6,13581,566.82,14.13,3.41E-64,4.38E-63,603.6,566.82,603.6,566.82
5,AT5G15660,,0,0,1,0.01,4251,87.7,3455,87.92,13.69,1.79E-21,1.08E-20,87.7,87.92,87.7,87.92
7,AT5G00895,,0,0,0,0,1248,127.48,1048,132.04,13.39,2.23E-20,1.30E-19,127.48,132.04,127.48,132.04
10,AT5G27010,,0,0,0,0,920,9.64,698,9.03,12.88,6.33E-19,3.50E-18,9.64,9.03,9.64,9.03
11,AT3G49540,,0,0,0,0,847,25.97,740,27.99,12.86,7.14E-19,3.94E-18,25.97,27.99,25.97,27.99
12,AT2G27505,,0,0,0,0,728,17.26,591,17.28,12.59,3.99E-18,2.14E-17,17.26,17.28,17.26,17.28
17,AT1G47130,,3,0.25,2,0.16,7177,928.58,7723,1232.53,12.34,1.53E-79,2.32E-78,928.58,1232.53,928.58,1232.53
19,AT4G01533,,0,0,0,0,518,13.18,504,15.82,12.23,3.89E-17,2.02E-16,13.18,15.82,13.18,15.82
25,AT1G55440,,0,0,0,0,453,5.87,321,5.13,11.81,4.98E-16,2.48E-15,5.87,5.13,5.87,5.13
30,AT5G64540,,0,0,0,0,395,5.87,334,6.13,11.74,7.63E-16,3.77E-15,5.87,6.13,5.87,6.13
32,AT2G09230,,0,0,0,0,408,41.21,306,38.12,11.7,9.64E-16,4.73E-15,41.21,38.12,41.21,38.12
34,AT3G22510,,0,0,0,0,408,13.31,298,11.99,11.68,1.08E-15,5.30E-15,13.31,11.99,13.31,11.99
37,AT3G18180,,0,0,0,0,367,7.06,251,5.95,11.49,3.57E-15,1.71E-14,7.06,5.95,7.06,5.95
39,AT4G20190,,0,0,0,0,322,6.45,270,6.67,11.44,4.58E-15,2.19E-14,6.45,6.67,6.45,6.67
44,AT1G71000,,1,0.01,3,0.04,3368,76.64,2611,73.29,11.32,8.78E-55,1.00E-53,76.64,73.29,76.64,73.29
45,AT5G13620,,0,0,0,0,313,9.25,226,8.24,11.29,1.09E-14,5.14E-14,9.25,8.24,9.25,8.24
46,AT1G07160,,13,0.15,17,0.19,22976,405.63,19612,427.09,11.26,0,0,405.63,427.09,405.63,427.09
48,AT1G73065,,0,0,0,0,301,23.91,171,16.76,11.08,4.21E-14,1.93E-13,23.91,16.76,23.91,16.76
49,AT5G47740,,0,0,0,0,219,5.89,218,7.23,11.01,5.84E-14,2.66E-13,5.89,7.23,5.89,7.23
50,AT1G04047,,9,0.35,0,0,5217,314.3,5008,372.15,10.92,3.54E-08,1.17E-07,314.3,372.15,314.3,372.15
51,AT3G07255,,0,0,0,0,198,4.41,211,5.8,10.92,1.02E-13,4.61E-13,4.41,5.8,4.41,5.8
52,AT2G27270,,0,0,0,0,222,7.14,185,7.34,10.9,1.07E-13,4.82E-13,7.14,7.34,7.14,7.34
53,AT5G05220,,2,0.05,4,0.09,3237,113.93,3218,139.7,10.87,8.23E-74,1.17E-72,113.93,139.7,113.93,139.7
54,AT2G31345,,0,0,0,0,174,8.31,216,12.72,10.86,1.61E-13,7.19E-13,8.31,12.72,8.31,12.72
55,AT4G33930,,6,0.09,4,0.06,5586,131.75,4814,140.05,10.81,8.13E-121,1.68E-119,131.75,140.05,131.75,140.05
61,AT1G30750,,0,0,0,0,201,5.75,126,4.45,10.56,7.77E-13,3.36E-12,5.75,4.45,5.75,4.45
62,AT2G09740,,0,0,0,0,186,10.29,132,9.01,10.53,8.82E-13,3.80E-12,10.29,9.01,10.29,9.01
64,AT1G63070,,0,0,0,0,167,2.56,123,2.33,10.4,1.82E-12,7.72E-12,2.56,2.33,2.56,2.33
65,AT1G05203,,0,0,0,0,173,10.63,117,8.87,10.39,1.93E-12,8.16E-12,10.63,8.87,10.63,8.87
66,AT1G09443,,0,0,0,0,154,12.27,126,12.38,10.35,2.30E-12,9.72E-12,12.27,12.38,12.27,12.38
67,AT5G40860,,1,0.01,0,0,398,8.74,359,9.73,10.35,9.38E-13,4.04E-12,8.74,9.73,8.74,9.73
68,AT2G09805,,0,0,0,0,161,8.46,118,7.65,10.34,2.50E-12,1.05E-11,8.46,7.65,8.46,7.65
69,AT4G34300,,0,0,0,0,140,4.03,131,4.66,10.32,2.92E-12,1.23E-11,4.03,4.66,4.03,4.66
70,AT1G53625,,0,0,1,0.03,359,14.78,365,18.53,10.3,1.32E-12,5.64E-12,14.78,18.53,14.78,18.53
72,AT5G28237,,5,0.04,1,0.01,2483,31.08,1882,29.05,10.28,1.55E-66,2.04E-65,31.08,29.05,31.08,29.05
73,AT2G41445,,0,0,1,0.01,383,7.93,339,8.66,10.28,1.35E-12,5.76E-12,7.93,8.66,7.93,8.66
75,AT3G05260,,0,0,0,0,154,3.4,111,3.03,10.27,3.82E-12,1.60E-11,3.4,3.03,3.4,3.03
77,AT5G02415,,0,0,0,0,158,5.58,99,4.31,10.21,5.43E-12,2.26E-11,5.58,4.31,5.58,4.31
78,AT5G16100,,0,0,0,0,123,1.93,128,2.48,10.21,5.43E-12,2.25E-11,1.93,2.48,1.93,2.48
82,AT5G65300,,28,0.51,25,0.44,17070,477.16,15808,545.06,10.07,0,0,477.16,545.06,477.16,545.06
83,AT3G13010,,0,0,0,0,132,1.89,95,1.68,10.04,1.32E-11,5.37E-11,1.89,1.68,1.89,1.68
84,AT2G27410,,0,0,0,0,127,3.47,99,3.34,10.04,1.31E-11,5.34E-11,3.47,3.34,3.47,3.34
86,AT3G19920,,0,0,0,0,127,2.13,89,1.84,9.97,1.99E-11,8.04E-11,2.13,1.84,2.13,1.84
87,AT1G71530,,2,0.01,9,0.05,3518,31.77,2806,31.25,9.95,1.19E-111,2.30E-110,31.77,31.25,31.77,31.25
89,AT3G14670,,1,0.02,0,0,277,7.42,279,9.22,9.92,9.61E-12,3.94E-11,7.42,9.22,7.42,9.22
91,AT5G63270,,0,0,0,0,115,5.44,87,5.08,9.88,3.25E-11,1.30E-10,5.44,5.08,5.44,5.08
92,AT4G14368,,3,0.01,2,0.01,1490,10.99,1217,11.07,9.86,2.88E-51,3.13E-50,10.99,11.07,10.99,11.07
94,AT1G09523,,0,0,0,0,116,14.33,82,12.49,9.85,3.95E-11,1.57E-10,14.33,12.49,14.33,12.49
95,AT5G15420,,0,0,0,0,114,5.12,83,4.6,9.84,4.04E-11,1.61E-10,5.12,4.6,5.12,4.6
97,AT2G46850,,0,0,0,0,116,1.51,80,1.28,9.83,4.35E-11,1.73E-10,1.51,1.28,1.51,1.28
98,AT2G01920,,0,0,0,0,110,2.87,85,2.74,9.83,4.25E-11,1.69E-10,2.87,2.74,2.87,2.74
99,AT2G26610,,0,0,0,0,124,0.89,73,0.65,9.83,4.74E-11,1.88E-10,0.89,0.65,0.89,0.65
100,AT4G24340,,0,0,0,0,113,2.51,82,2.24,9.82,4.39E-11,1.74E-10,2.51,2.24,2.51,2.24
103,AT1G25422,,0,0,0,0,81,1.99,106,3.22,9.8,5.97E-11,2.35E-10,1.99,3.22,1.99,3.22
104,AT3G03035,,0,0,0,0,103,2.83,87,2.95,9.8,5.05E-11,2.00E-10,2.83,2.95,2.83,2.95
108,AT1G76965,,0,0,1,0.01,244,5.12,252,6.52,9.75,2.24E-11,9.01E-11,5.12,6.52,5.12,6.52
111,AT5G66370,,0,0,0,0,111,6.66,74,5.47,9.74,7.01E-11,2.76E-10,6.66,5.47,6.66,5.47
115,AT3G08750,,0,0,0,0,103,2.52,74,2.23,9.68,9.46E-11,3.69E-10,2.52,2.23,2.52,2.23
123,AT2G41451,,0,0,0,0,91,1.6,72,1.56,9.57,1.72E-10,6.62E-10,1.6,1.56,1.6,1.56
124,AT1G05297,,0,0,0,0,80,6.45,77,7.66,9.53,2.20E-10,8.43E-10,6.45,7.66,6.45,7.66
126,AT1G76465,,0,0,0,0,89,12.4,67,11.52,9.51,2.48E-10,9.46E-10,12.4,11.52,12.4,11.52
127,AT1G17300,,0,0,0,0,107,2.76,52,1.66,9.51,3.07E-10,1.16E-09,2.76,1.66,2.76,1.66
128,AT2G20625,,0,0,0,0,70,3.32,82,4.8,9.5,2.88E-10,1.10E-09,3.32,4.8,3.32,4.8
129,AT1G30455,,0,0,0,0,74,2.63,78,3.42,9.49,2.83E-10,1.08E-09,2.63,3.42,2.63,3.42
131,AT3G02480,,12,0.39,11,0.34,4620,228.23,4702,286.52,9.46,1.79E-195,5.27E-194,228.23,286.52,228.23,286.52
133,AT2G13640,,0,0,0,0,85,2,65,1.89,9.45,3.33E-10,1.26E-09,2,1.89,2,1.89
135,AT1G04953,,0,0,0,0,81,3.22,66,3.24,9.42,3.80E-10,1.43E-09,3.22,3.24,3.22,3.24
136,AT4G11580,,0,0,0,0,80,2.17,65,2.17,9.4,4.23E-10,1.59E-09,2.17,2.17,2.17,2.17
137,AT5G09275,,0,0,0,0,87,4,59,3.35,9.4,4.39E-10,1.65E-09,4,3.35,4,3.35
140,AT4G08555,,7,0.21,6,0.17,2283,105.14,2661,151.16,9.38,3.28E-109,6.26E-108,105.14,151.16,105.14,151.16
141,AT1G58050,,0,0,0,0,76,0.49,63,0.5,9.35,5.83E-10,2.18E-09,0.49,0.5,0.49,0.5
142,AT3G47040,,0,0,0,0,80,0.97,59,0.88,9.34,6.12E-10,2.29E-09,0.97,0.88,0.97,0.88
143,AT2G20970,,1,0.02,2,0.03,569,14.77,543,17.38,9.33,5.23E-28,3.75E-27,14.77,17.38,14.77,17.38
146,AT5G59230,,0,0,0,0,63,2.45,67,3.22,9.26,9.48E-10,3.50E-09,2.45,3.22,2.45,3.22
147,AT1G19115,,0,0,0,0,77,1.8,54,1.56,9.25,9.94E-10,3.67E-09,1.8,1.56,1.8,1.56
151,AT4G33280,,1,0.01,1,0.01,410,5.84,297,5.21,9.24,6.52E-19,3.61E-18,5.84,5.21,5.84,5.21
154,AT3G06325,,6,0.35,10,0.56,2939,259.27,2603,283.24,9.22,1.10E-135,2.44E-134,259.27,283.24,259.27,283.24
155,AT1G04723,,0,0,0,0,71,3.46,57,3.43,9.22,1.11E-09,4.10E-09,3.46,3.43,3.46,3.43
157,AT2G17043,,0,0,0,0,75,3.92,52,3.35,9.2,1.27E-09,4.65E-09,3.92,3.35,3.92,3.35
158,AT5G18350,,1,0,1,0,374,2.69,310,2.75,9.2,9.08E-19,4.99E-18,2.69,2.75,2.69,2.75
159,AT1G05920,,0,0,0,0,64,1.18,61,1.38,9.2,1.28E-09,4.69E-09,1.18,1.38,1.18,1.38
161,AT5G20470,,0,0,0,0,78,1.17,49,0.91,9.2,1.36E-09,4.95E-09,1.17,0.91,1.17,0.91
164,AT5G63740,,0,0,0,0,66,2.63,57,2.81,9.17,1.48E-09,5.38E-09,2.63,2.81,2.63,2.81
167,AT1G09843,,0,0,0,0,64,9.61,56,10.37,9.14,1.78E-09,6.44E-09,9.61,10.37,9.61,10.37
170,AT5G09125,,0,0,0,0,54,2.39,63,3.44,9.12,2.14E-09,7.72E-09,2.39,3.44,2.39,3.44
173,AT2G08020,,0,0,0,0,62,3.25,53,3.43,9.07,2.48E-09,8.90E-09,3.25,3.43,3.25,3.43
174,AT1G04233,,1,0.05,0,0,173,11.99,137,11.71,9.06,6.70E-10,2.49E-09,11.99,11.71,11.99,11.71
175,AT4G36010,,68,0.76,66,0.71,23071,393.01,18372,386.04,9.05,0,0,926.5124386,910.0808168,393.01,386.04
176,AT2G21235,,0,0,0,0,72,1.14,43,0.84,9.05,3.01E-09,1.07E-08,1.14,0.84,1.14,0.84
177,AT3G04300,,0,0,1,0.02,158,5.25,143,5.87,9.02,7.97E-10,2.95E-09,5.25,5.87,5.25,5.87
178,AT1G23500,,0,0,0,0,53,1.39,56,1.81,9.01,3.64E-09,1.29E-08,1.39,1.81,1.39,1.81
180,AT1G08803,,0,0,0,0,51,6.89,57,9.5,9,3.91E-09,1.39E-08,6.89,9.5,6.89,9.5
181,AT5G27510,,0,0,0,0,60,1.8,49,1.81,8.99,3.79E-09,1.34E-08,1.8,1.81,1.8,1.81
183,AT5G45450,,0,0,0,0,68,2.25,42,1.71,8.99,4.11E-09,1.45E-08,2.25,1.71,2.25,1.71
184,AT5G01435,,0,0,0,0,58,3.58,50,3.81,8.98,3.99E-09,1.41E-08,3.58,3.81,3.58,3.81
188,AT5G59530,,4,0.05,1,0.01,852,15.34,592,13.15,8.95,1.78E-41,1.68E-40,15.34,13.15,15.34,13.15
189,AT5G57510,,1,0.02,4,0.09,725,26.23,695,31.02,8.94,2.11E-41,1.98E-40,26.23,31.02,26.23,31.02
192,AT4G01180,,0,0,0,0,47,0.77,56,1.13,8.94,5.65E-09,1.98E-08,0.77,1.13,0.77,1.13
195,AT5G01995,,0,0,0,0,55,4.82,48,5.19,8.92,5.71E-09,2.00E-08,4.82,5.19,4.82,5.19
196,AT1G06260,,0,0,0,0,57,1.47,46,1.47,8.91,5.84E-09,2.05E-08,1.47,1.47,1.47,1.47
197,AT1G07850,,0,0,0,0,51,0.64,51,0.79,8.91,6.01E-09,2.10E-08,0.64,0.79,0.64,0.79
198,AT3G04620,,55,0.94,87,1.44,20672,542.68,18399,595.78,8.9,5.84E-241,2.03E-239,542.68,595.78,542.68,595.78
200,AT1G16760,,0,0,0,0,41,0.43,58,0.75,8.89,7.97E-09,2.77E-08,0.43,0.75,0.43,0.75
202,AT4G34400,,3,0.03,16,0.17,2680,45.68,2468,51.89,8.89,6.38E-24,4.12E-23,45.68,51.89,45.68,51.89
203,AT1G73510,,3,0.06,3,0.06,873,26.07,761,28.03,8.88,1.05E-48,1.11E-47,26.07,28.03,26.07,28.03
204,AT2G31945,,9,0.19,18,0.37,3942,128.58,3409,137.16,8.88,5.32E-206,1.63E-204,128.58,137.16,168.8182801,180.0833357
206,AT2G09955,,1,0.05,0,0,164,12.11,110,10.02,8.87,1.71E-09,6.20E-09,12.11,10.02,12.11,10.02
207,AT5G09565,,0,0,0,0,52,6.79,46,7.41,8.85,8.29E-09,2.87E-08,6.79,7.41,6.79,7.41
208,AT4G01870,,263,2.09,283,2.17,83686,1016.9,62839,941.87,8.84,0,0,1016.9,941.87,1016.9,941.87
209,AT4G22470,,38,0.51,27,0.35,9982,205.93,7390,188.06,8.84,0,0,205.93,188.06,205.93,188.06
211,AT5G04335,,0,0,0,0,63,7.02,35,4.81,8.82,1.07E-08,3.67E-08,7.02,4.81,7.02,4.81
212,AT1G07795,,0,0,0,0,51,1.68,45,1.83,8.82,9.69E-09,3.34E-08,1.68,1.83,1.68,1.83
215,AT5G09845,,0,0,0,0,52,3.51,43,3.58,8.8,1.07E-08,3.67E-08,3.51,3.58,3.51,3.58
216,AT1G18310,,0,0,0,0,59,0.82,37,0.64,8.79,1.14E-08,3.89E-08,0.82,0.64,0.82,0.64
